"sep=,"
wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant
The European Commission on Sustainable Development. A New Normative Power in Its Making?,,5213276,http://dx.doi.org/10.1080/07360932.2022.2032255,Yes (1)
The EU sustainable finance taxonomy and its contribution to climate neutrality,,5230876,http://dx.doi.org/10.1080/20430795.2021.2006129,Unrated (0)
"""Keeping it up"" is out of the question - steel construction production must become climate-neutral",,5231885,http://dx.doi.org/10.1002/stab.202200012,Yes (1)
Financing Energy Innovation: Internal Finance and the Direction of Technical Change,,5339434,http://dx.doi.org/10.1007/s10640-021-00602-9,Unrated (0)
Assessing the implications of bioenergy deployment in the EU in deep decarbonization and climate-neutrality context: a scenario-based analysis,,5339438,http://dx.doi.org/10.1002/bbb.2366,Unrated (0)
From carbon neutral to climate neutral: Dynamic life cycle assessment for wood-based panels produced in China,,5339452,http://dx.doi.org/10.1111/jiec.13286,Yes (1)
How to Navigate the Tricky Landscape of Sustainability Claims in the Food Sector,,5339454,http://dx.doi.org/10.1017/err.2022.6,Unrated (0)
Bauwende - towards a new tectonic,,5339482,http://dx.doi.org/10.1002/bate.202100111,Unrated (0)
The Crucial Role of Bioenergy in a Climate-Neutral Energy System in Germany,,5339536,http://dx.doi.org/10.1002/ceat.202100263,Yes (1)
"The effects of energy price, spatial spillover of CO2 emissions, and economic freedom on CO2 emissions in Europe: a spatial econometrics approach",,5339539,http://dx.doi.org/10.1007/s11356-022-20179-0,Unrated (0)
Impact on the power mix and economy of Japan under a 2050 carbon-neutral scenario: Analysis using the E3ME macro-econometric model,,5339541,http://dx.doi.org/10.1080/14693062.2022.2061406,Unrated (0)
"Green means lean - the Way to a ""Climate-neutral Concrete Construction Site"" - Sustainable Building with Concrete also means Lean Construction",,5339566,http://dx.doi.org/10.1002/bate.202200024,Mixed (3)
A bottom-up dynamic building stock model for residential energy transition: A case study for the Netherlands,2022,4915915,http://dx.doi.org/10.1016/j.apenergy.2021.118060,Yes (1)
