wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant,redirect_url
The European Commission on Sustainable Development. A New Normative Power in Its Making?,,5213276,http://dx.doi.org/10.1080/07360932.2022.2032255,Yes (1),https://www.tandfonline.com/doi/full/10.1080/07360932.2022.2032255
"""Keeping it up"" is out of the question - steel construction production must become climate-neutral",,5231885,http://dx.doi.org/10.1002/stab.202200012,Yes (1),
From carbon neutral to climate neutral: Dynamic life cycle assessment for wood-based panels produced in China,,5339452,http://dx.doi.org/10.1111/jiec.13286,Yes (1),
The Crucial Role of Bioenergy in a Climate-Neutral Energy System in Germany,,5339536,http://dx.doi.org/10.1002/ceat.202100263,Yes (1),
A bottom-up dynamic building stock model for residential energy transition: A case study for the Netherlands,2022.0,4915915,http://dx.doi.org/10.1016/j.apenergy.2021.118060,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261921013507
Destination net-zero: what does the international energy agency roadmap mean for tourism?,2022.0,4916232,http://dx.doi.org/10.1080/09669582.2021.1962890,Yes (1),https://www.tandfonline.com/doi/full/10.1080/09669582.2021.1962890
Possibilities of Ammonia as Both Fuel and NOx Reductant in Marine Engines: A Numerical Study,2022.0,4947789,http://dx.doi.org/10.3390/jmse10010043,Yes (1),https://www.mdpi.com/2077-1312/10/1/43/htm
Potential effects of the EU's carbon border adjustment mechanism on the Turkish economy,2022.0,5196097,http://dx.doi.org/10.1007/s10668-021-01779-1,Yes (1),https://link.springer.com/article/10.1007/s10668-021-01779-1
INCREASING AMBITION TO REDUCE THE CARBON TRACE OF MULTIMODAL TRANSPORTATION IN THE CONDITIONS OF UKRAINE'S ECONOMY TRANSFORMATION TOWARDS CLIMATE NEUTRALITY,2022.0,5196509,http://dx.doi.org/10.15407/scine18.01.096,Yes (1),https://scinn-eng.org.ua/ojs/index.php/ni/article/view/168
Rethinking carbon-neutral built environment: Urban dynamics and scenario analysis,2022.0,5205985,http://dx.doi.org/10.1016/j.enbuild.2021.111672,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0378778821009567
